Latitude;Longitude;StationID;top(m);bot(m);grad(°C/km);k(W/mK);GHF(mW/m²);Err(mW/m²);Reference;DOI;DataQuality;Method;Comment
-84.4368;-162.8591;WGZ;0.2;1.4;;1.77;88;7;Begeman2017;https://doi.org/10.1002/2017gl075579;;unconsolidatedsediments;
-76.0667;164.8833;ANT008St6;2;3.4;98;0.68;66.3;5.2;Blackman1987;https://doi.org/10.1594/PANGAEA.802482;;unconsolidatedsediments;
-74.4833;168.1667;ANT009ST9;1;3.4;108;0.73;73.3;11.7;Blackman1987;https://doi.org/10.1594/PANGAEA.802482;;unconsolidatedsediments;
-77.85;166.675;DVDP-3/RossIsland;220;260;45;2.01;92;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.85;166.675;DVDP-3/RossIsland;160;220;37;2.26;84;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.85;166.675;DVDP-3/RossIsland;100;160;30;2.47;75;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.38;161.81;DVDP-6/LakeVida;60;190;33;2.64;88;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.38;161.81;DVDP-6/LakeVida;260;305;26;3.39;85;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.38;161.81;DVDP-6/LakeVida;190;305;26;3.39;85;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.5783;163.5117;DVDP-8NewHarbor;30;135;64;1.92;124;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.5783;163.5117;DVDP-10NewHarbor;60;160;61;1.92;117;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.59;163.4117;DVDP-11/Commonwe;100;310;48;1.92;92;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.6333;162.8533;DVDP-12/LakeLeon;165;185;29;3.47;100;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.54;161.4067;DVDP-14/NorthFork;30;60;48;2.93;142;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.4367;164.38;DVDP-15/McMurdoSo;130;155;32;2.93;73;;Bucher1980;https://doi.pangaea.de/10.1594/PANGAEA.806603;;borehole;
-77.00598;163.71945;CRP-2/2A;10;624;24;2.1?;50;;Bücker2000;https://epic.awi.de/id/eprint/27394/1/Bck2000a.pdf;;borehole;
-77.006;163.719;CRP-3;;;;2.1;60;;Bücker2001;https://epic.awi.de/id/eprint/27393/1/Bck2001a.pdf;;borehole;
-68.85;77.83;RauerIslands;;;;;40;;Carson2014;https://doi.org/10.1144/jgs2013-030;;radiogenicheatproduction;
-68.68;78.25;VestfoldHills;;;;;31;;Carson2014;https://doi.org/10.1144/jgs2013-030;;radiogenicheatproduction;
-79.46765;-112.085617;WAISDivide;;;;;240;;Clow2012;http://adsabs.harvard.edu/abs/2012AGUFM.C31A0577C;;iceborehole;AGUabstract.notpublishedduetolargeuncertainty
-66.7666667;112.8;DomeSummitSouth(DSS);0;1200;;;75;0.6;Dahl-Jensen1999;https://doi.org/10.3189/172756499781821102;;iceborehole;
-77.6;-119.1;ThwaitesGlacier;;;;;97;;Damiani2014;https://doi.org/10.1016/j.epsl.2014.09.023;;gravity;
-76.6;-117.7;ThwaitesGlacier;;;;;97;;Damiani2014;https://doi.org/10.1016/j.epsl.2014.09.023;;gravity;
-75.68;160.8033;Mt.Billing;;120;12;2.1;25;;Delisle1994;https://doi.org/10.1594/PANGAEA.806779;;unconsolidatedsediments;
-75.6583;161.2133;Mt.Howard;;83;24;2.1;50;;Delisle1994;https://doi.org/10.1594/PANGAEA.806779;;iceborehole;
-75.7583;158.84;RickerHills;;51;13;2.1;27;;Delisle1994;https://doi.org/10.1594/PANGAEA.806779;;iceborehole;
-81.658;-148.809;SipleDome;;;;;69;1;Engelhardt2004;https://doi.org/10.3189/172756504781830105;;iceborehole;
-84.24;-153.69;LakeWhillans;;0.78;;1.36;285;80;Fisher2015;https://doi.org/10.1126/sciadv.1500093;;unconsolidatedsediments;
-84.24;-153.69;LakeWhillans;0;770;50;2.1;105;13;Fisher2015;https://doi.org/10.1126/sciadv.1500093;;unconsolidatedsediments;
-79.46765;-112.085617;WAISDivide;;;;;180;40;Fisher2015;https://doi.org/10.1126/sciadv.1500093;;iceborehole;EstimatesfromFudgeetal..2013.Nature.FishersatetsaGHFrangeof140to220mW/m²
-82.375;-168.625;RossIceShelfJ-9Hole;0.1;2.1;67;0.816;54;;Foster1978;shorturl.at/luEO0;;unconsolidatedsediments;
-82.37500;-161.70600;RooseveltIslandClimateEvolution(RICE)icecoresite;;746;;;84;13;Fudge2019;https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL084332;;iceborehole;
;;EngelhardtRidge;;;;;85;11;Fudge2019;https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL084332;;modeled;
;;ShabtaieRidge;;;;;71;10;Fudge2019;https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL084332;;modeled;
-80.0166667;-119.516667;ByrdStation;50;2164;32.5;;75;;Gow1968;https://doi.org/10.1126/science.161.3845.1011;;iceborehole;
-77.3169444;39.703333;DomeFuji;0;3090;;;59;;Hondoh2002;https://doi.org/10.3189/172756402781817013;;iceborehole;
-77.889444;167.089333;ANDRILLAND-1B;0;1285;67.7;1.5;115;;Morin2010;https://doi.org/10.1130/ges00512.1;;borehole;
-64.201667;-57.685;JamesRossIsland;0;363.9;;;50;;Mulvaney2012;https://doi.org/10.1038/nature11391;;iceborehole;
-70.583333;-60.9333333;DollemanIsland1;0;133;;;100;;Nicholls&Paren1993;"https://doi.org/10.1175/1520-0442(1993)006<0141:ETAMRU>2.0.CO;2";;iceborehole;Statethat55mW/m²morelikely
